Run,FinalBest,Success,TimeToSuccessMs,ActiveDurationMs,EventCount,LargeJumpCount,RoleEntropy,SourceEntropy,RoleShare_Global Explorer,RoleShare_Local Explorer,RoleShare_Exploiter,RoleShare_Refiner,RoleShare_Polisher
Run_1,0.0,True,350,345,38,7,1.7700879670142995,0.6292492238560345,0.18421052631578946,0.3157894736842105,0.4473684210526316,0.02631578947368421,0.02631578947368421
Run_10,0.0,True,3013,2990,92,4,1.317434968544225,0.20731018585948174,0.043478260869565216,0.17391304347826086,0.7065217391304348,0.06521739130434782,0.010869565217391304
Run_11,0.0,True,3007,2989,98,5,1.3417576762934358,0.2460225782203316,0.05102040816326531,0.16326530612244897,0.7040816326530612,0.07142857142857142,0.01020408163265306
Run_12,0.0,True,3015,2996,85,3,1.1633314214771167,0.16082302082246938,0.03529411764705882,0.18823529411764706,0.7294117647058823,0.047058823529411764,0.0
Run_13,0.0,True,3015,2993,111,3,1.4093590658099122,0.2040748732541185,0.02702702702702703,0.14414414414414414,0.6666666666666666,0.15315315315315314,0.009009009009009009
Run_14,0.0,True,3015,2993,90,3,1.478969518397947,0.15374218032876188,0.03333333333333333,0.2111111111111111,0.6333333333333333,0.1111111111111111,0.011111111111111112
Run_15,0.0,True,3014,3001,99,8,1.4226966514872992,0.32984607020714635,0.08080808080808081,0.16161616161616163,0.6666666666666666,0.09090909090909091,0.0
Run_16,0.0,True,3025,3007,97,4,1.4212776334766275,0.24793583772272643,0.041237113402061855,0.2268041237113402,0.6494845360824743,0.07216494845360824,0.010309278350515464
Run_17,0.0,True,3022,3000,82,4,1.2656815066503777,0.22641094842107642,0.04878048780487805,0.21951219512195122,0.6951219512195121,0.024390243902439025,0.012195121951219513
Run_18,0.0,True,3014,2990,91,3,1.3217369252493962,0.15240699892386775,0.03296703296703297,0.18681318681318682,0.6813186813186813,0.0989010989010989,0.0
Run_19,0.0,True,125,103,13,5,1.2957378005380122,0.8904916402194913,0.38461538461538464,0.5384615384615384,0.07692307692307693,0.0,0.0
Run_2,0.0,True,114,95,12,5,0.9798687566511528,0.9182958340544896,0.4166666666666667,0.5833333333333334,0.0,0.0,0.0
Run_20,0.0,True,179,157,17,5,1.5656531116458186,0.7871265862012691,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.0,0.0
Run_21,0.0,True,126,106,11,3,1.4353713907745331,0.6840384356390417,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.0,0.0
Run_22,0.0,True,3023,3004,99,4,1.4313428934722583,0.19590927087360493,0.04040404040404041,0.16161616161616163,0.6464646464646465,0.15151515151515152,0.0
Run_23,0.0,True,3011,2996,93,3,1.0768976076550887,0.14981136747274792,0.03225806451612903,0.16129032258064516,0.7634408602150538,0.043010752688172046,0.0
Run_24,0.0,True,107,91,17,8,1.402081402756032,0.9774178175281716,0.47058823529411764,0.4117647058823529,0.11764705882352941,0.0,0.0
Run_25,0.0,True,3010,2989,93,3,1.3136301180861272,0.14981136747274792,0.03225806451612903,0.17204301075268819,0.6881720430107527,0.10752688172043011,0.0
Run_26,0.0,True,3018,3003,105,6,1.439964241867232,0.2761954276479391,0.05714285714285714,0.18095238095238095,0.6666666666666666,0.08571428571428572,0.009523809523809525
Run_27,0.0,True,94,82,12,7,0.9798687566511528,1.0,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0
Run_28,0.0,True,3054,3034,104,4,1.592451790839251,0.42480887386781474,0.038461538461538464,0.2403846153846154,0.5961538461538461,0.09615384615384616,0.028846153846153848
Run_29,0.0,True,3011,2989,92,3,1.2706069605707913,0.15109697051711368,0.03260869565217391,0.21739130434782608,0.6847826086956522,0.06521739130434782,0.0
Run_3,0.0,True,3021,3000,92,3,1.3626076509664176,0.15109697051711368,0.03260869565217391,0.1956521739130435,0.6630434782608695,0.10869565217391304,0.0
Run_30,0.0,True,3049,3034,105,6,1.6731810153896096,0.5299537747463936,0.05714285714285714,0.22857142857142856,0.5523809523809524,0.1523809523809524,0.009523809523809525
Run_4,0.0,True,3057,3035,104,6,1.4402465681839327,0.487021283159773,0.057692307692307696,0.2403846153846154,0.625,0.07692307692307693,0.0
Run_5,0.0,True,3051,3038,94,4,1.4087922421495755,0.28840091367940124,0.0425531914893617,0.20212765957446807,0.648936170212766,0.10638297872340426,0.0
Run_6,0.0,True,3068,3047,93,3,1.2183593732882738,0.14981136747274792,0.03225806451612903,0.17204301075268819,0.7204301075268817,0.07526881720430108,0.0
Run_7,0.0,True,3040,3033,111,7,1.4876980478389434,0.46613328272413534,0.06306306306306306,0.1891891891891892,0.6306306306306306,0.11711711711711711,0.0
Run_8,0.0,True,86,70,12,6,1.0,0.9798687566511528,0.5,0.5,0.0,0.0,0.0
Run_9,0.0,True,106,83,11,5,0.9940302114769565,0.9456603046006401,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0
