TimeMs,BestQuality,Source,Role,DeltaPct
8,516.4055754728918,HOG8-ML00-H2-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,100
8,471.25110050425366,HOG8-ML00-H2-GPS-GradientEstimation-Escape-Specialist-Local Explorer,Local Explorer,8.74399447126195
16,138.19331070407694,HOG8-ML06-H1-GPS-Spray-Specialist-Global Explorer,Global Explorer,70.67522801406602
20,0.04809731588576871,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,99.9651956265895
25,0.020099534969715505,HOG8-ML02-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,58.21069305103851
25,0.007125183991686046,HOG8-ML01-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,64.55050327073862
29,0.00010182793734525575,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,98.57087287199779
29,1.7498752201028367E-05,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,82.81537203125558
35,6.240955732872422E-06,HOG8-ML01-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,64.33485278735672
40,1.335582002770508E-07,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,97.85997199798146
40,0,HOG8-ML01-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,100
10000,0,Final,Final,0
