TimeMs,BestQuality,Source,Role,DeltaPct
5,454.7012345160171,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,100
10,385.95112442234785,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Local Explorer,Local Explorer,15.11984240967516
10,374.9553349649054,HOG8-ML02-H2-GPS-GradientEstimation-Escape-Specialist-Exploiter,Exploiter,2.849010862165473
25,207.04507973118754,HOG8-ML00-H2-GPS-GradientEstimation-Escape-Specialist-Local Explorer,Local Explorer,44.781401830016286
32,108.46665590797457,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Local Explorer,Local Explorer,47.612058181339115
40,108.45015868671308,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Polisher,Polisher,0.015209486383986103
60,108.45015843958818,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Polisher,Polisher,2.2786956226526204E-07
76,93.11135448993528,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,14.143643651933743
92,87.75692295529763,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.750567762620651
108,76.18620328232896,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,13.18496510966167
124,73.47970850878855,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.552473619811124
140,66.24838251214695,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,9.84125569275591
156,63.431472865041854,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,4.252042903218956
172,61.451122472403114,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.12203123022569
188,57.066362826668765,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,7.135361356016705
203,55.8427229865885,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.144240108304966
219,53.622111014967786,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.9765467241882657
235,52.328251929938254,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.4129208278808165
253,48.95826568778633,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,6.4400894695736515
267,47.650924599615045,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.67031740157705
284,45.624677336800964,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,4.252272710004142
296,43.937890033812714,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.69709420745357
311,43.2177031086383,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.6391022068201093
328,42.007220285550645,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.8008957811682094
344,41.72986631297686,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.6602530962259056
360,40.86295320523204,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.077440414601172
377,40.622690160716445,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.5879727862763247
392,40.583463914214526,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.09656240477114385
408,39.95361087407588,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.5519942838542178
424,39.51691037135578,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.0930188615403866
439,39.16604316743633,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.8878912865965829
471,38.8074668529044,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.9155285689672635
487,38.58333465722326,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.5775491518956535
511,38.494497694308066,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.23024698021679144
526,38.485269316106795,HOG8-ML06-H1-GPS-Spray-Specialist-Polisher,Polisher,0.023973239694035458
542,38.431358111806446,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.14008269984428984
558,38.39796819199155,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.08688196685049356
574,38.34962832822771,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.12589172302592042
590,38.321735488821645,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.07273301104077032
606,37.37946598564494,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.458838283698193
653,37.37198697215936,HOG8-ML06-H1-GPS-Spray-Specialist-Polisher,Polisher,0.020008347600394022
