TimeMs,BestQuality,Source,Role,DeltaPct
4,9327.540282939444,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,100
4,9181.925536180355,HOG8-ML00-H2-GPS-GradientEstimation-Escape-Specialist-Exploiter,Exploiter,1.5611269674752943
5,9017.042375435452,HOG8-ML01-H2-GPS-GradientEstimation-Escape-Specialist-Exploiter,Exploiter,1.7957362003775692
5,8783.741478280195,HOG8-ML03-H1-GPS-JADE-Specialist-Exploiter,Exploiter,2.5873328242398395
6,8681.082621441421,HOG8-ML04-H2-GPS-Sniper-Specialist-Exploiter,Exploiter,1.1687372299449121
12,8620.854209661447,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.6937891782208748
23,7905.6664143691305,HOG8-ML04-H2-GPS-Sniper-Specialist-Local Explorer,Local Explorer,8.296020068299047
23,7905.327866580564,HOG8-ML04-H2-GPS-Sniper-Specialist-Polisher,Polisher,0.004282343458755373
23,6680.242145678988,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,15.496962827823669
24,5638.329629531781,HOG8-ML03-H1-GPS-JADE-Specialist-Local Explorer,Local Explorer,15.596927378166251
24,5557.43631457517,HOG8-ML05-H2-GPS-JADE-Specialist-Exploiter,Exploiter,1.4347035429237318
31,3976.633407972253,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Local Explorer,Local Explorer,28.444822704617167
31,3929.805505673916,HOG8-ML01-H1-GPS-GradientEstimation-Escape-Specialist-Exploiter,Exploiter,1.177576545136336
31,3501.632351377162,HOG8-ML02-H1-GPS-GradientEstimation-Escape-Specialist-Local Explorer,Local Explorer,10.895530419471152
50,3501.6323513771604,HOG8-ML02-H1-GPS-GradientEstimation-Escape-Specialist-Polisher,Polisher,5.194689850379248E-14
56,3364.024045058053,HOG8-ML05-H1-GPS-JADE-Specialist-Exploiter,Exploiter,3.9298330752795083
66,3054.4854070341735,HOG8-ML05-H1-GPS-JADE-Specialist-Local Explorer,Local Explorer,9.201439522366375
76,2886.8378126757307,HOG8-ML05-H1-GPS-JADE-Specialist-Local Explorer,Local Explorer,5.4885708071273545
91,2553.707453351717,HOG8-ML05-H1-GPS-JADE-Specialist-Local Explorer,Local Explorer,11.53962851190605
96,2447.7243396772537,HOG8-ML05-H1-GPS-JADE-Specialist-Exploiter,Exploiter,4.150166595447786
111,2356.721298175986,HOG8-ML05-H1-GPS-JADE-Specialist-Exploiter,Exploiter,3.7178631607375854
121,2006.3537999690543,HOG8-ML05-H1-GPS-JADE-Specialist-Local Explorer,Local Explorer,14.86673449584823
131,1574.3802720035073,HOG8-ML05-H1-GPS-JADE-Specialist-Local Explorer,Local Explorer,21.530276862047444
