Problem,Mean,Median,StdDev,Success,Runs,Best,Worst,Q1,Q3,IQR,Outliers,CILower,CIUpper
Ackley 30D,0.000000E+000,0.000000E+000,0.000000E+000,100.0 %,30,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0,0.000000E+000,0.000000E+000
Griewank 30D,0.000000E+000,0.000000E+000,0.000000E+000,100.0 %,30,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0,0.000000E+000,0.000000E+000
Hybrid F2 30D,1.788451E-001,4.948295E-003,6.574563E-001,13.3 %,30,0.000000E+000,2.856502E+000,2.528154E-003,5.686570E-003,3.158416E-003,2,-7.082192E-002,4.285122E-001
Rosenbrock 30D,1.287329E-003,1.381206E-003,6.420707E-004,10.0 %,30,0.000000E+000,2.893844E-003,1.153717E-003,1.441628E-003,2.879112E-004,8,1.043504E-003,1.531153E-003
Schwefel 2.22 30D,1.434488E-009,0.000000E+000,7.485086E-009,86.7 %,30,0.000000E+000,4.173521E-008,0.000000E+000,0.000000E+000,0.000000E+000,6,-1.407951E-009,4.276927E-009
Shifted Ackley 30D,0.000000E+000,0.000000E+000,0.000000E+000,100.0 %,30,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0,0.000000E+000,0.000000E+000
Shifted Griewank 30D,0.000000E+000,0.000000E+000,0.000000E+000,100.0 %,30,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0,0.000000E+000,0.000000E+000
Shifted Rastrigin 30D,1.156366E+000,0.000000E+000,4.474115E+000,93.3 %,30,0.000000E+000,2.175653E+001,0.000000E+000,0.000000E+000,0.000000E+000,2,-5.426655E-001,2.855398E+000
Shifted Rosenbrock 30D,1.718196E-003,1.442034E-003,1.598620E-003,13.3 %,30,0.000000E+000,8.316428E-003,1.028835E-003,2.280416E-003,1.251581E-003,2,1.111125E-003,2.325267E-003
Shifted Schwefel 30D,-1.645091E+003,-1.644979E+003,5.782546E-001,0.0 %,30,-1.646829E+003,-1.644424E+003,-1.645250E+003,-1.644725E+003,5.247470E-001,2,-1.645310E+003,-1.644871E+003
