TimeMs,BestQuality,Source,Role,DeltaPct
5,20.394685398937394,HOG8-ML00-H2-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,100
10,20.29644695140742,HOG8-ML01-H2-GPS-GradientEstimation-Escape-Specialist-Refiner,Refiner,0.4816865061085516
10,20.0442023932463,HOG8-ML03-H1-GPS-JADE-Specialist-Exploiter,Exploiter,1.2428015542081303
14,19.728123817743334,HOG8-ML04-H1-GPS-Sniper-Specialist-Exploiter,Exploiter,1.576907722751127
14,2.747674748065219,HOG8-ML06-H1-GPS-Spray-Specialist-Global Explorer,Global Explorer,86.07229570612296
22,0.15730033847142666,HOG8-ML06-H2-GPS-Spray-Specialist-Global Explorer,Global Explorer,94.27514706454284
35,0.10379377224713737,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,34.0155442411897
41,0.08934784956063568,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,13.917908920494126
45,0.08559845409621802,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,4.196402580314082
52,0.06641993656530731,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,22.40521482940902
62,0.05571396005626683,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,16.11861899102214
74,0.0476415202509064,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,14.489079213195197
82,0.04521231871031306,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.098916927503218
96,0.0422481091334288,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,6.556198977267037
106,0.03894614094377902,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,7.815659108485646
112,0.03646798207185897,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,6.3630408863805235
126,0.03574836436909168,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.9732863237382077
134,0.034424232029416135,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,3.7040361511487747
146,0.03368187339577888,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.1565002031211424
156,0.03249475647344413,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.5244979054031047
167,0.031188933763126148,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,4.018564384026536
178,0.03059387417368642,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.907918988058679
185,0.03045589297153173,HOG8-ML06-H2-GPS-Spray-Specialist-Refiner,Refiner,0.4510092490128883
187,0.02955099593969779,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.971172221677366
205,0.02939729120248602,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.5201338646095738
209,0.027589790829097627,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,6.148526954196173
222,0.02717464311679807,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.5047149681965726
232,0.02624717741609972,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.4129820830104434
240,0.025335547290020077,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.4732501389671704
262,0.02465248059445857,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.6960802849148395
296,0.023817710953175197,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.3861486599081383
326,0.023766255522897684,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.21603852015281183
335,0.02314539195958476,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.612374350325192
344,0.02256345446888064,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.514269327217568
365,0.022147975419198662,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.8413804954157307
376,0.0217277605560402,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.8973059848811555
386,0.02126147341361362,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.1460432667413345
407,0.02113823894980671,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.5796139402455662
416,0.020586696450099584,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.609216884229461
437,0.019510180691693524,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.229181675726573
447,0.018860975902292854,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.327518077149689
471,0.01827835938919664,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.0890051295033256
477,0.01751967777278951,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,4.150709591887918
503,0.017299609238368152,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.256122043312664
509,0.01575451559615404,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,8.93137885905138
523,0.015506763113663613,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.5725807688489473
536,0.014762352193141925,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,4.800556473747626
551,0.014283974169395197,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.2405271022389384
575,0.014261349622341601,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.15839112270358918
586,0.013481642101297542,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.467277233162998
605,0.013368199947610737,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.8414564993969571
626,0.013105332168795503,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.9663663009634753
636,0.012252881692461859,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,6.504607936328191
697,0.011947695619174414,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.490728964396997
712,0.011420134703012952,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,4.415587180801623
762,0.011398973118812439,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.1853006531957109
771,0.011192469402154348,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.8115992950039048
780,0.011077017133861222,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.0315173903526897
802,0.010724907972030184,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.178736275081483
835,0.01039404773415642,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.084970414073717
862,0.009901336114208181,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,4.7403247757763625
916,0.008546423454227625,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,13.684139638854283
976,0.008541681052041117,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.05548990419100329
1005,0.008203281423054154,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,3.961745081854807
1019,0.00814367600337862,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,0.7266045939619008
1051,0.00814344785913379,HOG8-ML06-H2-GPS-Spray-Specialist-Polisher,Polisher,0.0028014897048293363
1061,0.007735204973741805,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,5.013145444703682
1082,0.0074936980691515664,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.1221784737452496
1115,0.007312271499991585,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,2.4210552318199086
1132,0.007297529106825795,HOG8-ML06-H1-GPS-Spray-Specialist-Refiner,Refiner,0.20161167656051476
1135,0.007125817305319249,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.3530129033118183
1192,0.0069689364404550425,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.201584157189919
1200,0.0067915748866345105,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.545030440957085
1205,0.0065061379113804385,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,4.202809805068896
