Run,FinalBest,Success,TimeToSuccessMs,ActiveDurationMs,EventCount,LargeJumpCount,RoleEntropy,SourceEntropy,RoleShare_Global Explorer,RoleShare_Local Explorer,RoleShare_Exploiter,RoleShare_Refiner,RoleShare_Polisher
Run_1,0.0,True,6127,6122,582,6,1.8038313762481415,1.311215296893213,0.010309278350515464,0.11512027491408934,0.5120274914089347,0.218213058419244,0.14432989690721648
Run_10,0.0,True,4601,4593,417,5,2.0124208814290743,1.5049624892399287,0.011990407673860911,0.17985611510791366,0.31654676258992803,0.1750599520383693,0.31654676258992803
Run_11,0.0,True,5258,5250,397,4,1.976148436261584,1.2946092211405182,0.010075566750629723,0.24937027707808565,0.3904282115869018,0.181360201511335,0.16876574307304787
Run_12,0.0049874383491995185,False,,10028,964,3,1.797546417611752,1.2306221668918211,0.0031120331950207467,0.044605809128630707,0.28112033195020747,0.3454356846473029,0.3257261410788382
Run_13,0.00014825467656044242,False,,10036,749,4,1.7931992418120748,1.6261100866769238,0.0053404539385847796,0.07476635514018691,0.46461949265687585,0.27236315086782376,0.1829105473965287
Run_14,0.0047508761060145975,False,,10034,1002,3,1.7894653500168027,1.4714622573787224,0.0029940119760479044,0.04491017964071856,0.2564870259481038,0.344311377245509,0.35129740518962077
Run_15,0.004489689089264631,False,,10066,756,3,1.7833013107210767,1.7097236358693773,0.003968253968253968,0.05952380952380952,0.3505291005291005,0.4007936507936508,0.18518518518518517
Run_16,0.004267538410253182,False,,10044,793,4,1.7844271430373675,1.7013851598012009,0.005044136191677175,0.05548549810844893,0.31778058007566207,0.4224464060529634,0.19924337957124844
Run_17,0.004472830909020706,False,,10025,882,5,1.7466342085924575,1.740839507772682,0.005668934240362812,0.034013605442176874,0.3231292517006803,0.41156462585034015,0.2256235827664399
Run_18,0.0,True,4602,4596,418,5,1.5792298526842918,1.4734914653857798,0.011961722488038277,0.1507177033492823,0.6196172248803827,0.15789473684210525,0.05980861244019139
Run_19,0.0,True,7781,7776,769,5,1.7071439279687668,1.1076716319170572,0.006501950585175552,0.07932379713914174,0.4343302990897269,0.38751625487646296,0.09232769830949285
Run_2,0.4179353060381693,False,,10029,999,4,1.4260069550236156,0.7872286619712667,0.004004004004004004,0.013013013013013013,0.16316316316316315,0.6236236236236237,0.1961961961961962
Run_20,0.004588382856658952,False,,10114,913,4,1.789815749989595,1.600951989940199,0.004381161007667032,0.03943044906900329,0.3099671412924425,0.35815991237677985,0.28806133625410735
Run_21,0.0,True,6668,6660,709,3,1.8617166824067075,1.2471211157590572,0.004231311706629055,0.11988716502115655,0.3554301833568406,0.37799717912552894,0.14245416078984485
Run_22,0.005080366040133462,False,,10048,937,4,1.782980749297049,1.4955700441161819,0.004268943436499467,0.0416221985058698,0.2838847385272145,0.3927427961579509,0.27748132337246534
Run_23,0.0047380066158510935,False,,9889,843,3,1.7922645728286206,1.243992706265943,0.0035587188612099642,0.0498220640569395,0.3013048635824436,0.3997627520759193,0.24555160142348753
Run_24,0.004558334261781722,False,,10021,816,5,1.7820089395688365,1.436429788537434,0.006127450980392157,0.04779411764705882,0.35171568627450983,0.3909313725490196,0.2034313725490196
Run_25,0.004434067449376324,False,,10048,783,4,1.8168618193919563,1.7065515185113993,0.005108556832694764,0.06641123882503193,0.2720306513409962,0.43167305236270753,0.2247765006385696
Run_26,0.004570219822019827,False,,10025,997,3,1.7725738932403337,1.5565041350404911,0.003009027081243731,0.048144433299899696,0.2547642928786359,0.42527582748244735,0.2688064192577733
Run_27,0.0050240939811792605,False,,10013,879,4,1.790694497542153,1.4846390253147304,0.004550625711035267,0.038680318543799774,0.29806598407281,0.30716723549488056,0.3515358361774744
Run_28,0.0043712157010823306,False,,10065,755,3,1.7307453018830627,1.6041069226903757,0.003973509933774834,0.05033112582781457,0.3125827814569536,0.45695364238410596,0.176158940397351
Run_29,0.0029279947577729314,False,,10030,762,4,1.5648462052523935,1.5712067449113252,0.005249343832020997,0.049868766404199474,0.16141732283464566,0.6036745406824147,0.17979002624671916
Run_3,0.004520402445306062,False,,10045,845,3,1.7444396496571926,1.6202451072619384,0.0035502958579881655,0.04378698224852071,0.30532544378698223,0.4366863905325444,0.2106508875739645
Run_30,0.0,True,5600,5592,486,4,1.6885504911030973,1.1851387894742724,0.00823045267489712,0.12757201646090535,0.5637860082304527,0.20987654320987653,0.09053497942386832
Run_4,0.004687467332476779,False,,10039,839,2,1.8267655742356352,1.3571242765704248,0.0023837902264600714,0.05601907032181168,0.3075089392133492,0.33134684147794996,0.30274135876042907
Run_5,0.8383477092455796,False,,9997,887,3,1.3419558271113128,0.8284774504827268,0.0033821871476888386,0.016910935738444193,0.11837655016910936,0.6662908680947013,0.19503945885005636
Run_6,0.004414246199159951,False,,10046,752,3,1.7657347668670662,1.60734039327526,0.003989361702127659,0.06515957446808511,0.2978723404255319,0.4574468085106383,0.17553191489361702
Run_7,0.0045967374315986536,False,,10051,996,4,1.7850025805137326,1.5049461287185433,0.004016064257028112,0.03714859437751004,0.3102409638554217,0.3393574297188755,0.3092369477911647
Run_8,0.004862625581488467,False,,10059,929,4,1.802741530750056,1.2612737306830955,0.004305705059203444,0.04305705059203445,0.3013993541442411,0.34768568353067814,0.30355220667384286
Run_9,0.0047867108874111615,False,,10028,899,4,1.8173980610958989,1.4334922905758494,0.004449388209121246,0.048943270300333706,0.3181312569521691,0.3492769744160178,0.27919911012235815
