FromRoleLabel,ToRoleLabel,Count,OverallPrevalence,ConditionalProbability,MeanRunPrevalence,StdDevRunPrevalence,MeanPhase
Refiner,Exploiter,2633,0.27038406,0.62601046,0.25626345,0.05805609,0.40096984
Exploiter,Refiner,2548,0.26165537,0.79625000,0.25050436,0.04643503,0.39054804
Polisher,Refiner,1662,0.17067160,0.83727960,0.16452607,0.05433670,0.71411328
Refiner,Polisher,1557,0.15988909,0.37018545,0.15571690,0.04458765,0.71952866
Exploiter,Polisher,431,0.04425960,0.13468750,0.04157828,0.01426387,0.58166074
Polisher,Exploiter,320,0.03286096,0.16120907,0.03041076,0.01288136,0.57239155
Local Explorer,Exploiter,233,0.02392688,0.84420290,0.03925636,0.06875146,0.14083477
Exploiter,Local Explorer,209,0.02146231,0.06531250,0.03502847,0.06179742,0.14917739
Global Explorer,Local Explorer,51,0.00523722,0.71830986,0.00740392,0.00921671,0.01673476
Local Explorer,Global Explorer,28,0.00287533,0.10144928,0.00441619,0.00721832,0.07578316
Global Explorer,Exploiter,19,0.00195112,0.26760563,0.00474414,0.01367660,0.05825695
Local Explorer,Refiner,13,0.00133498,0.04710145,0.00167584,0.00442106,0.21151785
Refiner,Local Explorer,13,0.00133498,0.00309082,0.00108079,0.00278961,0.18398283
Exploiter,Global Explorer,12,0.00123229,0.00375000,0.00303452,0.00760350,0.06352820
Polisher,Local Explorer,3,0.00030807,0.00151134,0.00201903,0.00767269,0.70861595
Refiner,Global Explorer,3,0.00030807,0.00071327,0.00204635,0.00767503,0.25379281
Local Explorer,Polisher,2,0.00020538,0.00724638,0.00018382,0.00071177,0.11448813
Global Explorer,Refiner,1,0.00010269,0.01408451,0.00011074,0.00060656,0.01162791
