FromRoleLabel,ToRoleLabel,Count,OverallPrevalence,ConditionalProbability,MeanRunPrevalence,StdDevRunPrevalence,MeanPhase
Local Explorer,Exploiter,208,0.22174840,0.77037037,0.23222256,0.09597674,0.49758116
Exploiter,Local Explorer,196,0.20895522,0.49246231,0.16908781,0.09747675,0.55261888
Refiner,Exploiter,173,0.18443497,0.86934673,0.13972631,0.09281647,0.42911888
Exploiter,Refiner,164,0.17484009,0.41206030,0.13316353,0.08806936,0.38832318
Global Explorer,Local Explorer,43,0.04584222,0.87755102,0.11981808,0.14777079,0.33932534
Local Explorer,Refiner,31,0.03304904,0.11481481,0.02493790,0.02411386,0.60847230
Local Explorer,Global Explorer,27,0.02878465,0.10000000,0.05348995,0.12383860,0.93166026
Refiner,Local Explorer,26,0.02771855,0.13065327,0.02115031,0.03017862,0.58396614
Exploiter,Global Explorer,20,0.02132196,0.05025126,0.06925013,0.11603030,0.89948617
Exploiter,Polisher,18,0.01918977,0.04522613,0.01338129,0.02366589,0.50065491
Polisher,Exploiter,11,0.01172708,0.50000000,0.00851190,0.01508475,0.50551080
Global Explorer,Exploiter,6,0.00639659,0.12244898,0.00442200,0.00904971,0.69304390
Polisher,Local Explorer,5,0.00533049,0.22727273,0.00357861,0.00963720,0.48489326
Polisher,Refiner,4,0.00426439,0.18181818,0.00277519,0.00892455,0.51168605
Local Explorer,Polisher,4,0.00426439,0.01481481,0.00298441,0.00777113,0.60164244
Polisher,Global Explorer,2,0.00213220,0.09090909,0.00150000,0.00574606,0.93875000
