TimeMs,BestQuality,Source,Role,DeltaPct
23,846760983210146,HOG8-ML02-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,100
24,92453121221794.02,HOG8-ML00-H2-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,89.08155630042187
28,334889370724.99994,HOG8-ML00-H1-GPS-GradientEstimation-Escape-Specialist-Global Explorer,Global Explorer,99.6377738617157
30,1.1544555026663428,HOG8-ML06-H1-GPS-Spray-Specialist-Global Explorer,Global Explorer,99.99999999965526
36,0.785582300750801,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,31.952136835381552
44,0.6358719379319091,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,19.057247429812247
60,0.5277780862602912,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,16.99931153168657
65,0.4194426332307027,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,20.52670541841317
74,0.37060627708139254,HOG8-ML06-H1-GPS-Spray-Specialist-Local Explorer,Local Explorer,11.643155053923445
90,0.35633631917940156,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.8504361054999117
96,0.3155337129705022,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,11.450588675008687
105,0.3023895724770337,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,4.165684981717723
120,0.283888950014814,HOG8-ML06-H2-GPS-Spray-Specialist-Local Explorer,Local Explorer,6.11814167752917
126,0.2759910202989314,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.782049007356739
136,0.26568607303178127,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.7337980257432464
151,0.25632148944181177,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,3.524679891237397
156,0.24364232848284292,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,4.946585238163253
165,0.2374129730065228,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,2.556762412800032
180,0.23006066123423555,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,3.096844995107012
187,0.22897803392926033,HOG8-ML06-H2-GPS-Spray-Specialist-Refiner,Refiner,0.4705834101176215
195,0.2244268211154967,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.9876198322017535
210,0.22143101054711323,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.3348718987744046
216,0.21787926016450776,HOG8-ML06-H1-GPS-Spray-Specialist-Exploiter,Exploiter,1.6039986331768883
225,0.21383910832004327,HOG8-ML06-H2-GPS-Spray-Specialist-Exploiter,Exploiter,1.8543076754593393
